Date,Open,High,Low,Close,Volume
2020-01-02,324.43,325.23,322.43,324.87,74360600
2020-01-03,321.16,323.64,321.10,322.41,79496400
2020-01-06,320.49,323.73,320.36,323.64,61143800
2020-01-07,323.02,323.54,322.24,322.73,58575000
2020-01-08,322.94,325.78,322.49,324.45,60350300
2020-01-09,326.16,326.73,325.52,326.65,57222700
2020-01-10,327.29,327.99,326.38,325.71,59196300
2020-01-13,326.39,327.96,325.92,327.95,53205700
2020-01-14,327.47,328.62,326.84,327.45,62213700
2020-01-15,327.35,328.62,327.00,327.85,59535300
2020-01-16,329.70,330.99,329.45,330.92,63638400
2020-01-17,331.70,332.17,330.85,331.95,79803200
2020-01-21,330.73,332.18,330.73,331.94,62947100
2020-01-22,332.24,332.95,331.52,331.34,55479000
2020-01-23,330.63,332.17,330.23,331.72,56942400
2020-01-24,332.44,332.85,327.02,328.76,96623800
2020-01-27,323.03,325.12,321.35,323.50,91823900
2020-01-28,325.06,327.85,323.60,326.89,66367500
2020-01-29,328.38,328.83,326.84,326.62,60395300
2020-01-30,324.74,327.00,324.13,327.63,80373700
